timestamp,binance
1775046839000,68443.16
1775046840000,68443.16
1775046841000,68436.0
1775046842000,68426.1
1775046843000,68426.1
1775046844000,68407.63
1775046845000,68418.43
1775046846000,68418.43
1775046847000,68418.43
1775046848000,68429.3
1775046849000,68429.29
1775046850000,68429.3
1775046851000,68429.29
1775046852000,68429.3
1775046853000,68429.3
1775046854000,68438.88
1775046855000,68431.43
1775046856000,68426.11
1775046857000,68426.11
1775046858000,68426.11
1775046859000,68429.29
1775046860000,68425.04
1775046861000,68424.85
1775046862000,68424.84
1775046863000,68424.85
1775046865000,68414.12
1775046866000,68414.12
1775046869000,68423.21
1775046870000,68426.62
1775046871000,68426.64
1775046872000,68426.63
1775046873000,68426.64
1775046874000,68426.64
1775046875000,68433.62
1775046876000,68435.14
1775046877000,68435.14
1775046878000,68433.61
1775046879000,68433.62
1775046881000,68433.61
1775046882000,68433.62
1775046883000,68433.62
1775046884000,68428.52
1775046885000,68428.52
1775046886000,68428.51
1775046888000,68428.51
1775046889000,68428.51
1775046892000,68428.52
1775046893000,68426.21
1775046894000,68426.2
1775046895000,68426.21
1775046896000,68426.21
1775046897000,68426.21
1775046898000,68426.2
1775046899000,68415.75
1775046900000,68415.76
1775046901000,68424.69
1775046902000,68427.49
1775046904000,68420.08
1775046906000,68420.08
1775046907000,68420.61
